InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
558992,20749,ASSORTED COLOUR MINI CASES,2,7/5/2011 11:36,7.95,14223.0,United Kingdom
558992,21984,PACK OF 12 PINK PAISLEY TISSUES ,24,7/5/2011 11:36,0.29,14223.0,United Kingdom
558992,22423,REGENCY CAKESTAND 3 TIER,2,7/5/2011 11:36,12.75,14223.0,United Kingdom
558992,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,7/5/2011 11:36,0.85,14223.0,United Kingdom
558992,22831,WHITE BROCANTE SOAP DISH,6,7/5/2011 11:36,2.95,14223.0,United Kingdom
558992,85078,SCANDINAVIAN 3 HEARTS NAPKIN RING,48,7/5/2011 11:36,0.19,14223.0,United Kingdom
558992,22138,BAKING SET 9 PIECE RETROSPOT ,3,7/5/2011 11:36,4.95,14223.0,United Kingdom
558992,21524,DOORMAT SPOTTY HOME SWEET HOME,2,7/5/2011 11:36,7.95,14223.0,United Kingdom
558992,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,8,7/5/2011 11:36,4.95,14223.0,United Kingdom
558992,23241,TREASURE TIN GYMKHANA DESIGN,6,7/5/2011 11:36,2.08,14223.0,United Kingdom
558992,23306,SET OF 36 DOILIES PANTRY DESIGN,12,7/5/2011 11:36,1.45,14223.0,United Kingdom
558992,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,6,7/5/2011 11:36,4.95,14223.0,United Kingdom
558992,20685,DOORMAT RED RETROSPOT,2,7/5/2011 11:36,7.95,14223.0,United Kingdom
558992,85015,SET OF 12  VINTAGE POSTCARD SET,24,7/5/2011 11:36,0.65,14223.0,United Kingdom
558992,22342,HOME GARLAND PAINTED ZINC ,24,7/5/2011 11:36,0.75,14223.0,United Kingdom
558993,21749,LARGE RED RETROSPOT WINDMILL,2,7/5/2011 11:49,2.1,16729.0,United Kingdom
558993,21746,SMALL RED RETROSPOT WINDMILL,2,7/5/2011 11:49,1.25,16729.0,United Kingdom
558993,23077,DOUGHNUT LIP GLOSS ,20,7/5/2011 11:49,1.25,16729.0,United Kingdom
558993,23005,TRAVEL CARD WALLET I LOVE LONDON,48,7/5/2011 11:49,0.42,16729.0,United Kingdom
558993,22995,TRAVEL CARD WALLET SUKI,24,7/5/2011 11:49,0.42,16729.0,United Kingdom
558993,22998,TRAVEL CARD WALLET KEEP CALM,48,7/5/2011 11:49,0.42,16729.0,United Kingdom
558993,23004,TRAVEL CARD WALLET PANTRY,24,7/5/2011 11:49,0.42,16729.0,United Kingdom
558993,22999,TRAVEL CARD WALLET VINTAGE LEAF,24,7/5/2011 11:49,0.42,16729.0,United Kingdom
558993,22616,PACK OF 12 LONDON TISSUES ,12,7/5/2011 11:49,0.29,16729.0,United Kingdom
558993,22659,LUNCH BOX I LOVE LONDON,7,7/5/2011 11:49,1.95,16729.0,United Kingdom
558993,23238,SET OF 4 KNICK KNACK TINS LONDON ,6,7/5/2011 11:49,4.15,16729.0,United Kingdom
558993,23237,SET OF 4 KNICK KNACK TINS LEAF,1,7/5/2011 11:49,4.15,16729.0,United Kingdom
558993,47503A,ASS FLORAL PRINT MULTI SCREWDRIVER,12,7/5/2011 11:49,0.42,16729.0,United Kingdom
558993,22558,CLOTHES PEGS RETROSPOT PACK 24 ,4,7/5/2011 11:49,1.65,16729.0,United Kingdom
558993,84836,ZINC METAL HEART DECORATION,12,7/5/2011 11:49,1.25,16729.0,United Kingdom
558993,22900,SET 2 TEA TOWELS I LOVE LONDON ,10,7/5/2011 11:49,3.25,16729.0,United Kingdom
558993,47566,PARTY BUNTING,6,7/5/2011 11:49,4.95,16729.0,United Kingdom
558993,21135,VICTORIAN  METAL POSTCARD SPRING,8,7/5/2011 11:49,1.69,16729.0,United Kingdom
558993,84879,ASSORTED COLOUR BIRD ORNAMENT,16,7/5/2011 11:49,1.69,16729.0,United Kingdom
558993,21136,PAINTED METAL PEARS ASSORTED,16,7/5/2011 11:49,1.69,16729.0,United Kingdom
558993,23209,LUNCH BAG DOILEY PATTERN ,10,7/5/2011 11:49,1.65,16729.0,United Kingdom
558993,22383,LUNCH BAG SUKI DESIGN ,5,7/5/2011 11:49,1.65,16729.0,United Kingdom
558993,20725,LUNCH BAG RED RETROSPOT,6,7/5/2011 11:49,1.65,16729.0,United Kingdom
558993,23206,LUNCH BAG APPLE DESIGN,10,7/5/2011 11:49,1.65,16729.0,United Kingdom
558993,85132C,CHARLIE AND LOLA FIGURES TINS,4,7/5/2011 11:49,1.95,16729.0,United Kingdom
558993,22191,IVORY DINER WALL CLOCK,2,7/5/2011 11:49,8.5,16729.0,United Kingdom
558993,22193,RED DINER WALL CLOCK,1,7/5/2011 11:49,8.5,16729.0,United Kingdom
558993,22191,IVORY DINER WALL CLOCK,1,7/5/2011 11:49,8.5,16729.0,United Kingdom
558993,22192,BLUE DINER WALL CLOCK,1,7/5/2011 11:49,8.5,16729.0,United Kingdom
558993,23316,RED REFECTORY CLOCK ,1,7/5/2011 11:49,9.95,16729.0,United Kingdom
558993,23315,IVORY REFECTORY CLOCK,1,7/5/2011 11:49,9.95,16729.0,United Kingdom
558993,22726,ALARM CLOCK BAKELIKE GREEN,9,7/5/2011 11:49,3.75,16729.0,United Kingdom
558993,22728,ALARM CLOCK BAKELIKE PINK,4,7/5/2011 11:49,3.75,16729.0,United Kingdom
