InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
557671,85185B,PINK HORSE SOCK PUPPET,6,6/22/2011 10:11,2.95,13849.0,United Kingdom
557671,21136,PAINTED METAL PEARS ASSORTED,8,6/22/2011 10:11,1.69,13849.0,United Kingdom
557671,84832,ZINC WILLIE WINKIE  CANDLE STICK,12,6/22/2011 10:11,0.85,13849.0,United Kingdom
557671,71279,PINK GLASS CANDLEHOLDER,6,6/22/2011 10:11,2.95,13849.0,United Kingdom
557671,22464,HANGING METAL HEART LANTERN,12,6/22/2011 10:11,1.65,13849.0,United Kingdom
557671,22851,SET 20 NAPKINS FAIRY CAKES DESIGN ,12,6/22/2011 10:11,0.85,13849.0,United Kingdom
557671,22908,PACK OF 20 NAPKINS RED APPLES,12,6/22/2011 10:11,0.85,13849.0,United Kingdom
557671,62086A,PINK RETRO BIG FLOWER BAG,4,6/22/2011 10:11,1.95,13849.0,United Kingdom
557671,22894,TABLECLOTH RED APPLES DESIGN ,2,6/22/2011 10:11,9.95,13849.0,United Kingdom
557671,22435,SET OF 9 HEART SHAPED BALLOONS,12,6/22/2011 10:11,1.25,13849.0,United Kingdom
557671,22597,MUSICAL ZINC HEART DECORATION ,12,6/22/2011 10:11,0.85,13849.0,United Kingdom
557671,85038,6 CHOCOLATE LOVE HEART T-LIGHTS,6,6/22/2011 10:11,2.1,13849.0,United Kingdom
557671,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,6/22/2011 10:11,4.25,13849.0,United Kingdom
557671,22969,HOMEMADE JAM SCENTED CANDLES,12,6/22/2011 10:11,1.45,13849.0,United Kingdom
557671,21843,RED RETROSPOT CAKE STAND,1,6/22/2011 10:11,10.95,13849.0,United Kingdom
557671,22221,CAKE STAND LOVEBIRD 2 TIER PINK,2,6/22/2011 10:11,9.95,13849.0,United Kingdom
557671,22215,CAKE STAND WHITE TWO TIER LACE,2,6/22/2011 10:11,8.5,13849.0,United Kingdom
557671,22776,SWEETHEART CAKESTAND 3 TIER,1,6/22/2011 10:11,9.95,13849.0,United Kingdom
557671,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,2,6/22/2011 10:11,9.95,13849.0,United Kingdom
557671,21985,PACK OF 12 HEARTS DESIGN TISSUES ,24,6/22/2011 10:11,0.29,13849.0,United Kingdom
557671,22149,FELTCRAFT 6 FLOWER FRIENDS,6,6/22/2011 10:11,2.1,13849.0,United Kingdom
557671,84569A,PACK 3 IRON ON DOG PATCHES,12,6/22/2011 10:11,1.25,13849.0,United Kingdom
